,date,open,high,low,close,ticker,, 
7791,18/12/1997,140.82,140.82,140.82,140.82,SP500BDT,,
7792,19/12/1997,141.14,141.14,141.14,141.14,SP500BDT,,
7793,22/12/1997,141.28,141.28,141.28,141.28,SP500BDT,,
7794,23/12/1997,141.26,141.26,141.26,141.26,SP500BDT,,
7795,24/12/1997,141.23,141.23,141.23,141.23,SP500BDT,,
7796,25/12/1997,141.25,141.25,141.25,141.25,SP500BDT,,
7797,26/12/1997,141.22,141.22,141.22,141.22,SP500BDT,,
7798,29/12/1997,141.22,141.22,141.22,141.22,SP500BDT,,
7799,30/12/1997,140.81,140.81,140.81,140.81,SP500BDT,,
7800,31/12/1997,141.21,141.21,141.21,141.21,SP500BDT,,
7801,01/01/1998,141.24,141.24,141.24,141.24,SP500BDT,,
7802,02/01/1998,141.82,141.82,141.82,141.82,SP500BDT,,
7803,05/01/1998,143.14,143.14,143.14,143.14,SP500BDT,,
7804,06/01/1998,143.4,143.4,143.4,143.4,SP500BDT,,
7805,07/01/1998,142.89,142.89,142.89,142.89,SP500BDT,,
7806,08/01/1998,143.4,143.4,143.4,143.4,SP500BDT,,
7807,09/01/1998,144.02,144.02,144.02,144.02,SP500BDT,,
7808,12/01/1998,143.96,143.96,143.96,143.96,SP500BDT,,
7809,13/01/1998,143.73,143.73,143.73,143.73,SP500BDT,,
7810,14/01/1998,143.45,143.45,143.45,143.45,SP500BDT,,
7811,15/01/1998,143.41,143.41,143.41,143.41,SP500BDT,,
7812,16/01/1998,142.86,142.86,142.86,142.86,SP500BDT,,
7813,19/01/1998,142.95,142.95,142.95,142.95,SP500BDT,,
7814,20/01/1998,142.72,142.72,142.72,142.72,SP500BDT,,
7815,21/01/1998,142.87,142.87,142.87,142.87,SP500BDT,,
7816,22/01/1998,142.67,142.67,142.67,142.67,SP500BDT,,
7817,23/01/1998,141.5,141.5,141.5,141.5,SP500BDT,,
7818,26/01/1998,142.16,142.16,142.16,142.16,SP500BDT,,
7819,27/01/1998,141.83,141.83,141.83,141.83,SP500BDT,,
7820,28/01/1998,141.76,141.76,141.76,141.76,SP500BDT,,
7821,29/01/1998,142.58,142.58,142.58,142.58,SP500BDT,,
7822,30/01/1998,142.93,142.93,142.93,142.93,SP500BDT,,
7823,02/02/1998,142.55,142.55,142.55,142.55,SP500BDT,,
7824,03/02/1998,142.65,142.65,142.65,142.65,SP500BDT,,
7825,04/02/1998,142.67,142.67,142.67,142.67,SP500BDT,,
7826,05/02/1998,142.29,142.29,142.29,142.29,SP500BDT,,
7827,06/02/1998,142.29,142.29,142.29,142.29,SP500BDT,,
7828,09/02/1998,142.13,142.13,142.13,142.13,SP500BDT,,
7829,10/02/1998,142.34,142.34,142.34,142.34,SP500BDT,,
7830,11/02/1998,143.1,143.1,143.1,143.1,SP500BDT,,
7831,12/02/1998,143.09,143.09,143.09,143.09,SP500BDT,,
7832,13/02/1998,143.37,143.37,143.37,143.37,SP500BDT,,
7833,16/02/1998,143.45,143.45,143.45,143.45,SP500BDT,,
7834,17/02/1998,143.82,143.82,143.82,143.82,SP500BDT,,
7835,18/02/1998,143.52,143.52,143.52,143.52,SP500BDT,,
7836,19/02/1998,143.49,143.49,143.49,143.49,SP500BDT,,
7837,20/02/1998,143.39,143.39,143.39,143.39,SP500BDT,,
7838,23/02/1998,143.16,143.16,143.16,143.16,SP500BDT,,
7839,24/02/1998,142.39,142.39,142.39,142.39,SP500BDT,,
7840,25/02/1998,142.84,142.84,142.84,142.84,SP500BDT,,
7841,26/02/1998,142.67,142.67,142.67,142.67,SP500BDT,,
7842,27/02/1998,142.99,142.99,142.99,142.99,SP500BDT,,
7843,02/03/1998,142.31,142.31,142.31,142.31,SP500BDT,,
7844,03/03/1998,141.96,141.96,141.96,141.96,SP500BDT,,
7845,04/03/1998,142.07,142.07,142.07,142.07,SP500BDT,,
7846,05/03/1998,141.96,141.96,141.96,141.96,SP500BDT,,
7847,06/03/1998,142.35,142.35,142.35,142.35,SP500BDT,,
7848,09/03/1998,142.9,142.9,142.9,142.9,SP500BDT,,
7849,10/03/1998,143,143,143,143,SP500BDT,,
7850,11/03/1998,143.28,143.28,143.28,143.28,SP500BDT,,
7851,12/03/1998,143.87,143.87,143.87,143.87,SP500BDT,,
7852,13/03/1998,143.77,143.77,143.77,143.77,SP500BDT,,
7853,16/03/1998,144.14,144.14,144.14,144.14,SP500BDT,,
7854,17/03/1998,143.99,143.99,143.99,143.99,SP500BDT,,
7855,18/03/1998,143.85,143.85,143.85,143.85,SP500BDT,,
7856,19/03/1998,143.86,143.86,143.86,143.86,SP500BDT,,
7857,20/03/1998,144.01,144.01,144.01,144.01,SP500BDT,,
7858,23/03/1998,144.16,144.16,144.16,144.16,SP500BDT,,
7859,24/03/1998,144.16,144.16,144.16,144.16,SP500BDT,,
7860,25/03/1998,143.67,143.67,143.67,143.67,SP500BDT,,
7861,26/03/1998,143.46,143.46,143.46,143.46,SP500BDT,,
